label,id,genus,species,species_reference,lifestyle,habitat_reference,terrane,country,province,locality,site,siteN,type_locality,latitude,longitude,elevation,SIA,BDNF,NXC1,CYTB,ND4,tiplabsite
BPBM22689-Oreophryne_A_cf._cameroni,BPBM22689,Oreophryne A,cf. cameroni,Kraus 2013,arboreal,,accreted,Papua New Guinea,West Sepik Province,Torricelli Mts.,Camp 1,10,,-3.3908514,142.5297297,625,MZ634617,MZ634853,MZ635088,MZ635325,MZ647769,BPBM22689-Oreophryne_A_cf._cameroni-Camp_1-Torricelli_Mts.
BPBM22784-Oreophryne_A_parkeri,BPBM22784,Oreophryne A,parkeri,Loveridge 1955,arboreal,,accreted,Papua New Guinea,West Sepik Province,Torricelli Mts.,Base Camp,9,,-3.42457,142.51866,416,MZ634723,MZ634959,MZ635194,,MZ647873,BPBM22784-Oreophryne_A_parkeri-Base_Camp-Torricelli_Mts.
BPBM22789-Oreophryne_A_parkopanorum,BPBM22789,Oreophryne A,parkopanorum,Kraus 2013,arboreal,Kraus 2013,accreted,Papua New Guinea,West Sepik Province,Torricelli Mts.,Camp 2,8,type locality,-3.3772645,142.518018,1220,MZ634728,MZ634964,MZ635199,MZ635435,MZ647878,BPBM22789-Oreophryne_A_parkopanorum-Camp_2-Torricelli_Mts.
BPBM33674-Oreophryne_A_notata,BPBM33674,Oreophryne A,notata,Zweifel 2003,arboreal,Zweifel 2003,fold,Papua New Guinea,Southern Highlands Province,Mt. Itukua,Tangi,11,,-5.66954,142.62334,2177,MZ634650,MZ634886,MZ635121,MZ635358,MZ647801,BPBM33674-Oreophryne_A_notata-Tangi-Mt._Itukua
BPBM33763-Oreophryne_A_anamiatoi,BPBM33763,Oreophryne A,anamiatoi,Kraus & Allison 2009,arboreal,Kraus & Allison 2009,fold,Papua New Guinea,Southern Highlands Province,Mt. Itukua,Tangi,11,type locality,-5.66954,142.62334,2177,MZ634614,MZ634850,MZ635085,MZ635322,MZ647766,BPBM33763-Oreophryne_A_anamiatoi-Tangi-Mt._Itukua
BPBM34677-Oreophryne_A_cameroni,BPBM34677,Oreophryne A,cameroni,Kraus 2013,arboreal,Kraus 2013,accreted,Papua New Guinea,Madang Province,Adelbert Mts.,Keki Lodge,21,Holotype,-4.70485,145.40418,854,MZ634598,MZ634834,MZ635069,MZ635306,MZ647752,BPBM34677-Oreophryne_A_cameroni-Keki_Lodge-Adelbert_Mts.
BPBM34688-Oreophryne_A_biroi,BPBM34688,Oreophryne A,biroi,Loveridge 1948,arboreal,Mehely 1897,accreted,Papua New Guinea,East Sepik Province,Torricelli Mts.,Mindangua Stream,16,,-3.60565,143.49212,410,MZ634602,MZ634838,MZ635073,MZ635310,MZ647756,BPBM34688-Oreophryne_A_biroi-Mindangua_Stream-Torricelli_Mts.
BPBM38990-Oreophryne_A_sp.2,BPBM38990,Oreophryne A,sp.2,,arboreal,,epct,Papua New Guinea,Milne Bay Province,Mt. Dayman Foothills,Binigua Site 2,51,,-9.70712,149.24985,900,MZ634599,MZ634835,MZ635070,MZ635307,MZ647753,BPBM38990-Oreophryne_A_sp.2-Binigua_Site_2-Mt._Dayman_Foothills
BPBM38992-Oreophryne_A_sp.2,BPBM38992,Oreophryne A,sp.2,,arboreal,,epct,Papua New Guinea,Milne Bay Province,Mt. Dayman Foothills,Binigua Site 2,51,,-9.70712,149.24985,900,MZ634642,MZ634878,MZ635113,MZ635350,MZ647794,BPBM38992-Oreophryne_A_sp.2-Binigua_Site_2-Mt._Dayman_Foothills
BPBM39156-Oreophryne_A_sp.1,BPBM39156,Oreophryne A,sp.1,,arboreal,,epct,Papua New Guinea,Oro Province,Mt. Suckling,Biniguni,52,,-9.6708,149.2779,NA,MZ634743,MZ634978,MZ635215,MZ635448,MZ647893,BPBM39156-Oreophryne_A_sp.1-Biniguni-Mt._Suckling
BPBM39244-Oreophryne_A_sp.3,BPBM39244,Oreophryne A,sp.3,,arboreal,,epct,Papua New Guinea,Milne Bay Province,Mt. Dayman Foothills,Binigua Site 2,51,,-9.70712,149.24985,900,MZ634616,MZ634852,MZ635087,MZ635324,MZ647768,BPBM39244-Oreophryne_A_sp.3-Binigua_Site_2-Mt._Dayman_Foothills
BPBM39366-Oreophryne_A_sp.5,BPBM39366,Oreophryne A,sp.5,,arboreal,,epct,Papua New Guinea,Milne Bay Province,Mt. Dayman Foothills,Biniguni Bunua,49,,-9.76505,149.21764,NA,MZ634662,MZ634898,MZ635133,MZ635370,MZ647813,BPBM39366-Oreophryne_A_sp.5-Biniguni_Bunua-Mt._Dayman_Foothills
BPBM40145-Oreophryne_A_sp.6,BPBM40145,Oreophryne A,sp.6,,arboreal,,epct,Papua New Guinea,Oro Province,Mt. Trafalgar,Camp 2,47,,-9.19056,149.16113,833,MZ634609,MZ634845,MZ635080,MZ635317,MZ647762,BPBM40145-Oreophryne_A_sp.6-Camp_2-Mt._Trafalgar
CMNH1366-Oreophryne_A_anulata,CMNH1366,Oreophryne A,anulata,Parker 1934,arboreal,,notpng,Philippines,Mindanao,"Mindanao Island, Philippines",Mt. Apo,78,type locality,6.9875,125.270833,NA,MZ634667,MZ634903,MZ635138,MZ635375,MZ647818,"CMNH1366-Oreophryne_A_anulata-Mt._Apo-Mindanao_Island,_Philippines"
KU321316-Oreophryne_A_nana,KU321316,Oreophryne A,nana,Brown & Alcala 1967,scansorial,,notpng,Philippines,Zamboanga,"Western Mindanao, Philippines",Camiguin Sur Island,79,type locality,9.17,124.72,NA,MZ634668,MZ634904,MZ635139,MZ635376,MZ647819,"KU321316-Oreophryne_A_nana-Camiguin_Sur_Island-Western_Mindanao,_Philippines"
MB342-Oreophryne_A_loriae,MB342,Oreophryne A,loriae,Van Kampen 1919,arboreal,Butler field notes,epct,Papua New Guinea,Central Province,Mt. Gerebu,Maru Ruama,39,,-9.465633,147.6414,500,MZ634764,MZ634999,MZ635236,MZ635469,MZ647913,MB342-Oreophryne_A_loriae-Maru_Ruama-Mt._Gerebu
MB484-Oreophryne_A_cf._geislerorum.2,MB484,Oreophryne A,cf. geislerorum.2,,arboreal,AA field notes,epct,Papua New Guinea,Morobe Province,Bowutu Mts.,Cliffside Camp Kamiali,30,,-7.29426,147.09365,515,MZ634773,MZ635008,MZ635245,MZ635478,MZ647922,MB484-Oreophryne_A_cf._geislerorum.2-Cliffside_Camp_Kamiali-Bowutu_Mts.
UMMZ242404-Oreophryne_A_sp.8,UMMZ242404,Oreophryne A,sp.8,Van Kampen 1919,arboreal,Butler field notes,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,Mwatebu,66,,-10.0589,151.0717,500,MZ634576,MZ634812,MZ635047,MZ635284,MZ647731,UMMZ242404-Oreophryne_A_sp.8-Mwatebu-Normanby_Island
